name,country,city.pop,mean.range,mean.rain,mean.hum,mean.mean,cum.cases,max.b,avg.b,local.trans,mean.mean.sq
Dominican_Republic-Monsenor_Nouel,Dominican_Republic,11.77821621,9.1626294,2.964440067,79.0984472,26.27125604,49,5.000785464,0.361757339,1,690.1788938
Dominican_Republic-Monte_Plata,Dominican_Republic,10.94105742,7.741641337,-3.25,71.96352584,27.60486322,61,11.0010444,1.021455397,1,762.0284735
Dominican_Republic-Hato_Mayor,Dominican_Republic,11.03458317,8.306990881,-3.25,80.32522796,26.58966565,48,15.00343485,0.659717711,1,707.0103196
Dominican_Republic-San_Jose_de_Ocoa,Dominican_Republic,10.933589,9.1626294,2.964440067,79.0984472,26.27125604,120,13.00859496,2.406820429,1,690.1788938
El_Salvador-Cabanas,El_Salvador,11.20635954,10.67375602,-3.25,72.73555377,25.60473515,471,52.02296957,4.579737928,1,655.6024622
El_Salvador-Chalatenango,El_Salvador,10.35341602,12.02086677,2.792722387,74.82664526,23.964687,830,78.06400563,7.331014137,1,574.3062229
El_Salvador-Cuscatlan,El_Salvador,10.9667317,9.22025482,3.100707209,79.60591133,24.4721462,734,82.03667304,6.942566984,1,598.8859397
El_Salvador-La_Libertad,El_Salvador,11.84806825,9.22025482,3.100707209,79.60591133,24.4721462,1601,167.1719971,12.76799479,1,598.8859397
El_Salvador-La_Paz,El_Salvador,11.17286881,9.890850722,-3.25,73.41091493,27.93900482,250,35.00762714,1.7422709,1,780.5879901
El_Salvador-La_Union,El_Salvador,10.7629751,12.38888889,-3.25,60.74570106,28.36157407,83.00000001,7.000756416,0.494455671,1,804.378884
El_Salvador-San_Miguel,El_Salvador,12.49095455,12.38888889,-3.25,60.74570106,28.36157407,294,24.00412954,2.472714667,1,804.378884
El_Salvador-San_Salvador,El_Salvador,12.55398985,9.22025482,3.100707209,79.60591133,24.4721462,5150,0,0,0,598.8859397
El_Salvador-San_Vicente,El_Salvador,11.02472528,9.890850722,-3.25,73.41091493,27.93900482,642,43.07909143,3.67178727,1,780.5879901
El_Salvador-Santa_Ana,El_Salvador,12.51559204,9.817014446,-3.25,67.02889246,24.37399679,852,92.04263981,6.60120729,1,594.0917195
El_Salvador-Sonsonate,El_Salvador,11.29882837,7.794723295,-3.25,65.23542471,28.802574,145,11.00106427,1.000143707,1,829.5882692
